scenario,success,avg_pnl,avg_sharpe,instrument_count,option_type,option_contracts,strike_moneyness,delta_threshold,gamma_threshold,vega_threshold,rebalance_interval_seconds
SHORT_CALL_m0.950_d0.100_g1.000_r3600_c60_o120_q-1,1,-332.211,-0.137244,5,CALL,-1,0.95,0.1,1,1000,3600
SHORT_CALL_m0.950_d0.100_g1.000_r86400_c60_o120_q-1,1,-332.69,-0.13731,5,CALL,-1,0.95,0.1,1,1000,86400
SHORT_CALL_m0.950_d0.100_g2.000_r3600_c60_o120_q-1,1,-332.211,-0.137244,5,CALL,-1,0.95,0.1,2,1000,3600
SHORT_CALL_m0.950_d0.100_g2.000_r86400_c60_o120_q-1,1,-332.694,-0.137302,5,CALL,-1,0.95,0.1,2,1000,86400
SHORT_CALL_m0.950_d0.250_g1.000_r3600_c60_o120_q-1,1,-332.211,-0.137244,5,CALL,-1,0.95,0.25,1,1000,3600
SHORT_CALL_m0.950_d0.250_g1.000_r86400_c60_o120_q-1,1,-332.213,-0.137604,5,CALL,-1,0.95,0.25,1,1000,86400
SHORT_CALL_m0.950_d0.250_g2.000_r3600_c60_o120_q-1,1,-332.211,-0.137244,5,CALL,-1,0.95,0.25,2,1000,3600
SHORT_CALL_m0.950_d0.250_g2.000_r86400_c60_o120_q-1,1,-332.441,-0.13764,5,CALL,-1,0.95,0.25,2,1000,86400
SHORT_CALL_m1.000_d0.100_g1.000_r3600_c60_o120_q-1,1,71.296,0.0162898,5,CALL,-1,1,0.1,1,1000,3600
SHORT_CALL_m1.000_d0.100_g1.000_r86400_c60_o120_q-1,1,69.8025,0.0157225,5,CALL,-1,1,0.1,1,1000,86400
SHORT_CALL_m1.000_d0.100_g2.000_r3600_c60_o120_q-1,1,71.296,0.0162898,5,CALL,-1,1,0.1,2,1000,3600
SHORT_CALL_m1.000_d0.100_g2.000_r86400_c60_o120_q-1,1,69.7983,0.0157209,5,CALL,-1,1,0.1,2,1000,86400
SHORT_CALL_m1.000_d0.250_g1.000_r3600_c60_o120_q-1,1,71.296,0.0162898,5,CALL,-1,1,0.25,1,1000,3600
SHORT_CALL_m1.000_d0.250_g1.000_r86400_c60_o120_q-1,1,68.666,0.0153438,5,CALL,-1,1,0.25,1,1000,86400
SHORT_CALL_m1.000_d0.250_g2.000_r3600_c60_o120_q-1,1,71.296,0.0162898,5,CALL,-1,1,0.25,2,1000,3600
SHORT_CALL_m1.000_d0.250_g2.000_r86400_c60_o120_q-1,1,68.0279,0.0150392,5,CALL,-1,1,0.25,2,1000,86400
SHORT_CALL_m1.050_d0.100_g1.000_r3600_c60_o120_q-1,1,40.1649,0.0124095,5,CALL,-1,1.05,0.1,1,1000,3600
SHORT_CALL_m1.050_d0.100_g1.000_r86400_c60_o120_q-1,1,39.7835,0.0122323,5,CALL,-1,1.05,0.1,1,1000,86400
SHORT_CALL_m1.050_d0.100_g2.000_r3600_c60_o120_q-1,1,40.1649,0.0124095,5,CALL,-1,1.05,0.1,2,1000,3600
SHORT_CALL_m1.050_d0.100_g2.000_r86400_c60_o120_q-1,1,39.7764,0.0122266,5,CALL,-1,1.05,0.1,2,1000,86400
SHORT_CALL_m1.050_d0.250_g1.000_r3600_c60_o120_q-1,1,40.1649,0.0124095,5,CALL,-1,1.05,0.25,1,1000,3600
SHORT_CALL_m1.050_d0.250_g1.000_r86400_c60_o120_q-1,1,39.2453,0.0119452,5,CALL,-1,1.05,0.25,1,1000,86400
SHORT_CALL_m1.050_d0.250_g2.000_r3600_c60_o120_q-1,1,40.1649,0.0124095,5,CALL,-1,1.05,0.25,2,1000,3600
SHORT_CALL_m1.050_d0.250_g2.000_r86400_c60_o120_q-1,1,39.3138,0.0119684,5,CALL,-1,1.05,0.25,2,1000,86400
LONG_CALL_m0.950_d0.100_g1.000_r3600_c60_o120_q1,1,332.211,0.137244,5,CALL,1,0.95,0.1,1,1000,3600
LONG_CALL_m0.950_d0.100_g1.000_r86400_c60_o120_q1,1,332.69,0.13731,5,CALL,1,0.95,0.1,1,1000,86400
LONG_CALL_m0.950_d0.100_g2.000_r3600_c60_o120_q1,1,332.211,0.137244,5,CALL,1,0.95,0.1,2,1000,3600
LONG_CALL_m0.950_d0.100_g2.000_r86400_c60_o120_q1,1,332.694,0.137302,5,CALL,1,0.95,0.1,2,1000,86400
LONG_CALL_m0.950_d0.250_g1.000_r3600_c60_o120_q1,1,332.211,0.137244,5,CALL,1,0.95,0.25,1,1000,3600
LONG_CALL_m0.950_d0.250_g1.000_r86400_c60_o120_q1,1,332.213,0.137604,5,CALL,1,0.95,0.25,1,1000,86400
LONG_CALL_m0.950_d0.250_g2.000_r3600_c60_o120_q1,1,332.211,0.137244,5,CALL,1,0.95,0.25,2,1000,3600
LONG_CALL_m0.950_d0.250_g2.000_r86400_c60_o120_q1,1,332.441,0.13764,5,CALL,1,0.95,0.25,2,1000,86400
LONG_CALL_m1.000_d0.100_g1.000_r3600_c60_o120_q1,1,-71.296,-0.0162898,5,CALL,1,1,0.1,1,1000,3600
LONG_CALL_m1.000_d0.100_g1.000_r86400_c60_o120_q1,1,-69.8025,-0.0157225,5,CALL,1,1,0.1,1,1000,86400
LONG_CALL_m1.000_d0.100_g2.000_r3600_c60_o120_q1,1,-71.296,-0.0162898,5,CALL,1,1,0.1,2,1000,3600
LONG_CALL_m1.000_d0.100_g2.000_r86400_c60_o120_q1,1,-69.7983,-0.0157209,5,CALL,1,1,0.1,2,1000,86400
LONG_CALL_m1.000_d0.250_g1.000_r3600_c60_o120_q1,1,-71.296,-0.0162898,5,CALL,1,1,0.25,1,1000,3600
LONG_CALL_m1.000_d0.250_g1.000_r86400_c60_o120_q1,1,-68.666,-0.0153438,5,CALL,1,1,0.25,1,1000,86400
